%IncMSE,IncNodePurity,Var.Names,MSE_rank,Purity_rank,site,property
2.055457274805451,0.1365906206922136,plan_curvature,5,6,Agriculture,a_col
1.6580679180725104,0.11728581005742118,profile_curvature,6,7,Agriculture,a_col
11.65593657411037,0.2690539513361871,saga_wetness_index,1,1,Agriculture,a_col
-1.1035008399554107,0.1556831937510863,catchment_area,7,5,Agriculture,a_col
9.625550101306075,0.2556125034284386,relative_slope_position,2,2,Agriculture,a_col
5.499002004756008,0.16464791986443533,channel_network_distance,4,4,Agriculture,a_col
9.429789582347931,0.23484453611006828,elevation,3,3,Agriculture,a_col
3.8659711126167537,3.27550304793561,plan_curvature,6,3,Agriculture,b_col
3.479167154055595,2.9604374761867196,profile_curvature,7,4,Agriculture,b_col
8.146130887444954,3.302608130337118,saga_wetness_index,1,2,Agriculture,b_col
4.393348096601064,3.3998618468218047,catchment_area,5,1,Agriculture,b_col
4.839253317472246,2.5333422939114145,relative_slope_position,4,7,Agriculture,b_col
6.321416854049057,2.804291020777389,channel_network_distance,3,6,Agriculture,b_col
7.0043933442788155,2.8661089230746835,elevation,2,5,Agriculture,b_col
4.05188708734178,3.678837470622409,plan_curvature,4,4,Agriculture,c_col
2.417121920084617,2.9778554152121437,profile_curvature,7,7,Agriculture,c_col
9.669010866876024,4.350573966261713,saga_wetness_index,1,1,Agriculture,c_col
4.141453970297251,4.102174854598539,catchment_area,3,2,Agriculture,c_col
3.4463556880451742,3.438998844964268,relative_slope_position,5,5,Agriculture,c_col
2.849052470521684,3.045237858464265,channel_network_distance,6,6,Agriculture,c_col
8.684190631591996,3.8097612284184392,elevation,2,3,Agriculture,c_col
1.6271456045282011,1.493108760095716,plan_curvature,6,6,Forest,Ca
6.83240201949777,2.591134525144351,profile_curvature,3,3,Forest,Ca
8.760271050185551,2.8112463117058906,saga_wetness_index,2,2,Forest,Ca
4.935020312418014,1.9788120356293717,catchment_area,5,5,Forest,Ca
0.5712598446424962,0.8329819054859983,relative_slope_position,7,7,Forest,Ca
13.692046857277456,4.017076949504382,channel_network_distance,1,1,Forest,Ca
5.403804987730793,1.9908118637427683,elevation,4,4,Forest,Ca
6.303406331961278,1.7992562146478572,plan_curvature,3,4,Agriculture,Co
5.172962815351934,1.946469918312001,profile_curvature,4,3,Agriculture,Co
11.045409867090774,4.471152589896365,saga_wetness_index,2,2,Agriculture,Co
2.746245358057,1.661099401116921,catchment_area,5,5,Agriculture,Co
-2.5661427719014336,1.6249043621327564,relative_slope_position,7,7,Agriculture,Co
-1.1703102372419836,1.6600090443737807,channel_network_distance,6,6,Agriculture,Co
11.90784941895248,4.909716954585419,elevation,1,1,Agriculture,Co
1.8281157167846367,2.480240522226605,plan_curvature,4,5,Forest,Co
1.001814997047823,4.259336868874278,profile_curvature,5,2,Forest,Co
0.6857549190550815,3.7165600125922142,saga_wetness_index,6,3,Forest,Co
-3.146743648860349,2.265385069584602,catchment_area,7,7,Forest,Co
3.947116812325926,2.761820247509518,relative_slope_position,2,4,Forest,Co
8.379030642537543,5.037316803836748,channel_network_distance,1,1,Forest,Co
3.22816884201979,2.40781352824865,elevation,3,6,Forest,Co
0.7834297473226154,0.01744588825119421,plan_curvature,6,7,Agriculture,Cs
2.5955913027778106,0.04429029260821256,profile_curvature,5,5,Agriculture,Cs
14.72245274828552,0.2094326477496148,saga_wetness_index,2,2,Agriculture,Cs
0.11965383149279842,0.02644704199692845,catchment_area,7,6,Agriculture,Cs
9.7770025145222,0.08092467157140111,relative_slope_position,3,3,Agriculture,Cs
6.485022781732819,0.07249439456107469,channel_network_distance,4,4,Agriculture,Cs
15.589892717694534,0.2340745914435113,elevation,1,1,Agriculture,Cs
-1.2361277075698092,0.02826200237106165,plan_curvature,6,6,Forest,Cs
0.8609406400299239,0.03464199254307961,profile_curvature,5,1,Forest,Cs
3.731560305849226,0.03320960160508869,saga_wetness_index,2,3,Forest,Cs
0.912715638474162,0.03377105912404252,catchment_area,4,2,Forest,Cs
-1.7554822668812082,0.026187975073470902,relative_slope_position,7,7,Forest,Cs
5.094208520655701,0.03261792074919797,channel_network_distance,1,5,Forest,Cs
2.6110341353222513,0.03283876464391699,elevation,3,4,Forest,Cs
1.0797426881695056,0.01977327946841367,plan_curvature,5,3,Agriculture,Fe
20.740559472333977,0.100442100598313,profile_curvature,1,1,Agriculture,Fe
9.726224568098148,0.04317998419114242,saga_wetness_index,2,2,Agriculture,Fe
-1.1217000219886577,0.01550806686493351,catchment_area,7,6,Agriculture,Fe
4.3958534008177335,0.01443325893401709,relative_slope_position,3,7,Agriculture,Fe
-0.8278255622203246,0.01896721235769672,channel_network_distance,6,4,Agriculture,Fe
1.9311387521909824,0.01614658187857583,elevation,4,5,Agriculture,Fe
0.7682734896378067,4.288709096693636e-4,plan_curvature,6,4,Agriculture,h_col
10.802928595699203,8.549756862041984e-4,profile_curvature,1,3,Agriculture,h_col
1.875629413006484,4.165661439195777e-4,saga_wetness_index,5,6,Agriculture,h_col
4.458563652282563,8.994527262548584e-4,catchment_area,3,2,Agriculture,h_col
0.6225424744720953,4.276689472151628e-4,relative_slope_position,7,5,Agriculture,h_col
9.888941822335362,9.680391424014268e-4,channel_network_distance,2,1,Agriculture,h_col
2.605084603336374,3.938800696867723e-4,elevation,4,7,Agriculture,h_col
-0.8256961247293446,0.00633738228585412,plan_curvature,5,5,Forest,h_col
0.7563126489816419,0.00848898900105516,profile_curvature,3,1,Forest,h_col
-2.004020089016556,0.0059494388022735,saga_wetness_index,6,7,Forest,h_col
0.12261389137366006,0.00776578534214042,catchment_area,4,2,Forest,h_col
-2.6257511716146604,0.00631388729754886,relative_slope_position,7,6,Forest,h_col
3.01166448955207,0.00730307828249132,channel_network_distance,2,4,Forest,h_col
3.0155535875688644,0.00767375698725178,elevation,1,3,Forest,h_col
-2.0181426498833206,1.1560189142051276,plan_curvature,7,6,Agriculture,La
3.1110592186541264,1.704243126763197,profile_curvature,3,5,Agriculture,La
9.896634376955,3.5353948694693593,saga_wetness_index,2,2,Agriculture,La
-1.168223881787123,1.0559306799916273,catchment_area,6,7,Agriculture,La
